notebook,model_id,slug,storage,gpus,download_status,local_path,model_dir_exists,eligible
01_openai__gpt-oss-120b.ipynb,openai/gpt-oss-120b,openai__gpt-oss-120b,SSD2,4,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/openai__gpt-oss-120b,yes,no
02_meta-llama__Llama-4-Scout-17B-16E-Instruct.ipynb,meta-llama/Llama-4-Scout-17B-16E-Instruct,meta-llama__Llama-4-Scout-17B-16E-Instruct,SSD2,1,Incomplete,/disk/ssd2/zihaomu_amd/models/meta-llama__Llama-4-Scout-17B-16E-Instruct,yes,no
03_OpenGVLab__InternVL3-78B.ipynb,OpenGVLab/InternVL3-78B,OpenGVLab__InternVL3-78B,SSD2,4,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/OpenGVLab__InternVL3-78B,yes,no
04_meta-llama__Llama-3.3-70B-Instruct.ipynb,meta-llama/Llama-3.3-70B-Instruct,meta-llama__Llama-3.3-70B-Instruct,SSD2,4,Incomplete,/disk/ssd2/zihaomu_amd/models/meta-llama__Llama-3.3-70B-Instruct,yes,no
05_Qwen__Qwen3.5-35B-A3B.ipynb,Qwen/Qwen3.5-35B-A3B,Qwen__Qwen3.5-35B-A3B,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Qwen__Qwen3.5-35B-A3B,yes,yes
06_Qwen__Qwen3.6-35B-A3B.ipynb,Qwen/Qwen3.6-35B-A3B,Qwen__Qwen3.6-35B-A3B,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Qwen__Qwen3.6-35B-A3B,yes,yes
07_Qwen__Qwen3-32B.ipynb,Qwen/Qwen3-32B,Qwen__Qwen3-32B,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Qwen__Qwen3-32B,yes,yes
08_Qwen__Qwen3-VL-32B-Instruct.ipynb,Qwen/Qwen3-VL-32B-Instruct,Qwen__Qwen3-VL-32B-Instruct,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Qwen__Qwen3-VL-32B-Instruct,yes,yes
09_Qwen__QwQ-32B.ipynb,Qwen/QwQ-32B,Qwen__QwQ-32B,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Qwen__QwQ-32B,yes,yes
10_deepseek-ai__DeepSeek-R1-Distill-Qwen-32B.ipynb,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,deepseek-ai__DeepSeek-R1-Distill-Qwen-32B,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/deepseek-ai__DeepSeek-R1-Distill-Qwen-32B,yes,yes
11_google__gemma-4-31B.ipynb,google/gemma-4-31B,google__gemma-4-31B,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/google__gemma-4-31B,yes,yes
